exposure,source_algorithm,target_algorithm,method,method_role,scope_type,scope_level,n,mean_error_pred_minus_target,median_error_pred_minus_target,error_sd,error_p05,error_p95,mae,rmse,absolute_error_p50,absolute_error_p90,absolute_error_p95,target_iqr,mae_per_target_iqr,note
daily_steps,scrf,vs,monotone_spline,fullsample_robustness,overall,all,8646,-1.3464565883860669,95.75614193815818,1676.5075754417687,-2742.326679969943,2481.817938749863,1210.3977035330936,1676.4111605744629,908.2976311252128,2603.842301468208,3340.881578482031,5559.857142857143,0.2177030222958363,Full-sample source->target 5-fold OOF residual; aggregate row only.
daily_steps,scrf,vs,monotone_spline,fullsample_robustness,age_group,20-39,2757,108.9863602594165,132.48752018935556,1652.0288812386032,-2557.451839731167,2642.1854333223846,1201.1445950198067,1655.320976367375,894.0660669988483,2617.376864959253,3361.5549847518387,5559.857142857143,0.2160387513846359,Full-sample source->target 5-fold OOF residual; aggregate row only.
daily_steps,scrf,vs,monotone_spline,fullsample_robustness,age_group,40-59,2949,49.98032444371998,150.5285368551722,1708.4518493952455,-2726.71804211299,2510.4532259582666,1245.7024243666374,1708.8932069250843,974.7909285611568,2606.310919063242,3344.0469633870857,5559.857142857143,0.2240529553833978,Full-sample source->target 5-fold OOF residual; aggregate row only.
daily_steps,scrf,vs,monotone_spline,fullsample_robustness,age_group,60+,2940,-156.2955223411318,13.490498229172772,1656.0355544995427,-2885.526512789672,2256.0047849733332,1183.6620567416007,1663.1143197837887,864.6904894884809,2570.1903453554464,3256.8408299064463,5559.857142857143,0.2128943291757549,Full-sample source->target 5-fold OOF residual; aggregate row only.
daily_steps,scrf,vs,monotone_spline,fullsample_robustness,sex,male,4161,177.09687167984444,249.26564367575975,1684.8529291062152,-2556.2584649865858,2721.967693506223,1224.1383213666124,1693.9334319267732,908.7165401249658,2660.2502947857847,3374.9973386207257,5559.857142857143,0.2201744199379811,Full-sample source->target 5-fold OOF residual; aggregate row only.
daily_steps,scrf,vs,monotone_spline,fullsample_robustness,sex,female,4485,-166.89889559041663,-40.08520715632221,1651.7619760469884,-2855.005641922643,2223.469811978001,1197.6497189611266,1659.989321147322,907.1847457396052,2527.9355592237,3288.5990209001757,5559.857142857143,0.2154101604030906,Full-sample source->target 5-fold OOF residual; aggregate row only.
daily_steps,scrf,vs,monotone_spline,fullsample_robustness,bmi_group,<25,2572,-174.40857765051933,-53.35305311485081,1774.37684075384,-3094.9640871900565,2460.917560787584,1296.7569200627636,1782.5844760026612,980.6015959330512,2808.354963694589,3671.981817649675,5559.857142857143,0.2332356545758972,Full-sample source->target 5-fold OOF residual; aggregate row only.
daily_steps,scrf,vs,monotone_spline,fullsample_robustness,bmi_group,25-<30,2741,28.909769791874258,136.1989097866499,1702.7539826037416,-2755.3370530256634,2580.5453575600914,1236.603692594928,1702.688791725794,928.6759609430082,2670.1860253064733,3330.737426075397,5559.857142857143,0.2224164507866208,Full-sample source->target 5-fold OOF residual; aggregate row only.
daily_steps,scrf,vs,monotone_spline,fullsample_robustness,bmi_group,>=30,3246,126.27405021928868,177.86549531479477,1567.1609790071589,-2299.915672323407,2422.1141442485696,1125.1120569055918,1571.9993792418468,839.8123204928681,2359.518582311981,3038.759972595134,5559.857142857143,0.2023634830889576,Full-sample source->target 5-fold OOF residual; aggregate row only.
daily_steps,scrf,vs,monotone_spline,fullsample_robustness,bmi_group,missing,87,-599.8833098550409,-491.4708426618418,1211.3091361584277,-2900.3309350938052,1016.3700211145542,1013.7389451431244,1345.4607531995448,828.025377575666,2155.3313471036686,2986.7263851180396,5559.857142857143,0.1823318331920622,Full-sample source->target 5-fold OOF residual; aggregate row only.
daily_steps,scrf,vsrev,isotonic,headline,overall,all,8646,-0.8996203860312793,131.19859002714372,1832.4553395720095,-3040.8666102630577,2732.978124726312,1328.8315171812812,1832.3495860709272,993.9873297686272,2845.481284802052,3619.2432067374048,6301.767857142858,0.2108664659354425,Full-sample source->target 5-fold OOF residual; aggregate row only.
