source_algorithm,target_algorithm,support_definition,point_E,E_ci_low,E_ci_high,point_H,H_driver,H_ci_low,H_ci_high,E_bootstrap_success,H_bootstrap_success,bootstrap_requested,ci_method
scssl,adept,common_support_linear,0.32612747686623084,0.32027479743515463,0.3344211512993217,0.2845138312471127,age_group,0.26696284328171105,0.36489800203728373,300,300,300,percentile_PSU_within_stratum_bootstrap
scssl,oak,original_grid_stage3,0.29845479639453076,0.2944959065613257,0.30420209217342636,0.47816706353456817,age_group,0.4011836660864881,0.5934912402437835,300,300,300,percentile_PSU_within_stratum_bootstrap
scssl,oak,common_support_linear,0.29845479639453076,0.2944959065613257,0.30420209217342636,0.4255068616907496,age_group,0.3877446218009359,0.45672680454711817,300,300,300,percentile_PSU_within_stratum_bootstrap
scssl,scrf,original_grid_stage3,0.2443137604394309,0.23913467800443622,0.24981773929023493,0.3870405615201681,age_group,0.3563999038208886,0.5191605452373811,300,300,300,percentile_PSU_within_stratum_bootstrap
scssl,scrf,common_support_linear,0.2443137604394309,0.23913467800443622,0.24981773929023493,0.3680332640571019,age_group,0.3384932991341579,0.41536499378051367,300,300,300,percentile_PSU_within_stratum_bootstrap
scssl,vs,original_grid_stage3,0.29715988495785983,0.29113280622027543,0.3044932865459208,0.36026236359374664,age_group,0.3275819152289763,0.4049841463656039,300,300,300,percentile_PSU_within_stratum_bootstrap
scssl,vs,common_support_linear,0.29715988495785983,0.29113280622027543,0.3044932865459208,0.36026236359374664,age_group,0.3281508263347762,0.40256890674660717,300,300,300,percentile_PSU_within_stratum_bootstrap
scssl,vsrev,original_grid_stage3,0.33125962875240383,0.324201012050692,0.3385114379997601,0.5456361085266256,age_group,0.48020965027804463,0.6596501919548081,300,300,300,percentile_PSU_within_stratum_bootstrap
scssl,vsrev,common_support_linear,0.33125962875240383,0.324201012050692,0.3385114379997601,0.5438429511529679,age_group,0.47338664394800234,0.5769316801016927,300,300,300,percentile_PSU_within_stratum_bootstrap
vs,acti,original_grid_stage3,0.20236566938760012,0.1976862532999398,0.20818860196133085,0.15989351390448353,age_group,0.15843107213541033,0.21632408490862753,300,300,300,percentile_PSU_within_stratum_bootstrap
vs,acti,common_support_linear,0.20236566938760012,0.1976862532999398,0.20818860196133085,0.142756434563666,age_group,0.1354171235416346,0.18889660199623654,300,300,300,percentile_PSU_within_stratum_bootstrap
vs,adept,original_grid_stage3,0.3628797540400764,0.35688009925805775,0.3719661575421306,0.38956791763269594,sex,0.3275190033613503,0.516316312490833,300,300,300,percentile_PSU_within_stratum_bootstrap
vs,adept,common_support_linear,0.3628797540400764,0.35688009925805775,0.3719661575421306,0.38956791763269594,sex,0.3243748341949404,0.4994228286416662,300,300,300,percentile_PSU_within_stratum_bootstrap
vs,oak,original_grid_stage3,0.1503969249596241,0.14699522014663435,0.15493327247183614,0.23078544719557467,age_group,0.18806121834185227,0.2908985861933307,300,300,300,percentile_PSU_within_stratum_bootstrap
vs,oak,common_support_linear,0.1503969249596241,0.14699522014663435,0.15493327247183614,0.2032828063396666,age_group,0.17223485593173338,0.2785459067040156,300,300,300,percentile_PSU_within_stratum_bootstrap
vs,scrf,original_grid_stage3,0.22260537534918542,0.21750327011146256,0.22789416566700865,0.26267033919021093,age_group,0.22664408088753876,0.341679252210855,300,300,300,percentile_PSU_within_stratum_bootstrap
vs,scrf,common_support_linear,0.22260537534918542,0.21750327011146256,0.22789416566700865,0.2297599550548853,age_group,0.19816823722008267,0.29314811774374494,300,300,300,percentile_PSU_within_stratum_bootstrap
vs,scssl,original_grid_stage3,0.30587098032084037,0.3015366719843547,0.3141454922496737,0.3702310831805068,sex,0.292225863969365,0.49113387590097396,300,300,300,percentile_PSU_within_stratum_bootstrap
vs,scssl,common_support_linear,0.30587098032084037,0.3015366719843547,0.3141454922496737,0.2923911684528875,sex,0.2674898807541422,0.429020878264642,300,300,300,percentile_PSU_within_stratum_bootstrap
vs,vsrev,original_grid_stage3,0.1251691158200241,0.12241259015615902,0.12817500990441505,0.2519394147372684,age_group,0.2146468020147049,0.3115085968930075,300,300,300,percentile_PSU_within_stratum_bootstrap
vs,vsrev,common_support_linear,0.1251691158200241,0.12241259015615902,0.12817500990441505,0.228314892825898,age_group,0.20819994401562406,0.3018260422681007,300,300,300,percentile_PSU_within_stratum_bootstrap
vsrev,acti,original_grid_stage3,0.21716215415152404,0.21129095186679184,0.22372567467987878,0.28301348555789935,age_group,0.25247853702175915,0.3286260882578761,300,300,300,percentile_PSU_within_stratum_bootstrap
vsrev,acti,common_support_linear,0.21716215415152404,0.21129095186679184,0.22372567467987878,0.24268822920412267,age_group,0.224734313711615,0.28271167826824306,300,300,300,percentile_PSU_within_stratum_bootstrap
vsrev,adept,original_grid_stage3,0.37613375393901344,0.36840004692888745,0.3847588353619743,0.5021847747843555,sex,0.3915145350970236,0.6747706574858052,300,300,300,percentile_PSU_within_stratum_bootstrap
vsrev,adept,common_support_linear,0.37613375393901344,0.36840004692888745,0.3847588353619743,0.4100890233091278,sex,0.3362036124715275,0.5039917140543603,300,300,300,percentile_PSU_within_stratum_bootstrap
vsrev,oak,original_grid_stage3,0.13753258384393557,0.13461437641533247,0.14173910446925778,0.21329255633939873,age_group,0.1485422375276443,0.2768334421615679,300,300,300,percentile_PSU_within_stratum_bootstrap
vsrev,oak,common_support_linear,0.13753258384393557,0.13461437641533247,0.14173910446925778,0.12695634323636132,bmi_group,0.11690950794532409,0.16775542572292226,300,300,300,percentile_PSU_within_stratum_bootstrap
vsrev,scrf,original_grid_stage3,0.21757195411876346,0.21289682355240924,0.22216649175604733,0.2152130711973439,bmi_group,0.194809479415081,0.31002846841572146,300,300,300,percentile_PSU_within_stratum_bootstrap
vsrev,scrf,common_support_linear,0.21757195411876346,0.21289682355240924,0.22216649175604733,0.21480712354761716,sex,0.1784110260905085,0.29253047098210777,300,300,300,percentile_PSU_within_stratum_bootstrap
vsrev,scssl,original_grid_stage3,0.3380717011698635,0.3321722456486029,0.3465788149667123,0.4020685113198904,sex,0.3501042232559627,0.5500315606850472,300,300,300,percentile_PSU_within_stratum_bootstrap
vsrev,scssl,common_support_linear,0.3380717011698635,0.3321722456486029,0.3465788149667123,0.4020685113198904,sex,0.34276793860215027,0.5158562103817612,300,300,300,percentile_PSU_within_stratum_bootstrap
vsrev,vs,original_grid_stage3,0.12314121361279737,0.12015941233937698,0.1261606384161559,0.2450804794441582,age_group,0.20320257807235442,0.3255239211715079,300,300,300,percentile_PSU_within_stratum_bootstrap
vsrev,vs,common_support_linear,0.12314121361279737,0.12015941233937698,0.1261606384161559,0.19289048044129936,age_group,0.17383829121006072,0.2470830993433224,300,300,300,percentile_PSU_within_stratum_bootstrap
