source_algorithm,target_algorithm,n,target_iqr,E,E_recomputed,E_absolute_reproduction_difference,full_range_H,full_range_H_driver,full_range_H_recomputed,full_range_H_absolute_reproduction_difference,common_support_linear_H,common_support_linear_driver,interpretation
scssl,acti,8646,5482.084523809524,0.3057816664696054,0.3057816664696054,0.0,0.3580950250086858,age_group,0.35809502500868584,5.551115123125783e-17,0.257018681496285,age_group,continuous_support_sensitivity_without_acceptability_grade
scssl,adept,8646,1919.4027944454594,0.3261274768662308,0.32612747686623084,5.551115123125783e-17,0.2857749249864063,age_group,0.28577492498640633,5.551115123125783e-17,0.2845138312471127,age_group,continuous_support_sensitivity_without_acceptability_grade
scssl,oak,8646,6887.578571428576,0.2984547963945307,0.29845479639453076,5.551115123125783e-17,0.4781670635345681,age_group,0.47816706353456817,5.551115123125783e-17,0.4255068616907496,age_group,continuous_support_sensitivity_without_acceptability_grade
scssl,scrf,8646,7482.482142857143,0.2443137604394309,0.2443137604394309,0.0,0.3870405615201681,age_group,0.3870405615201681,0.0,0.3680332640571019,age_group,continuous_support_sensitivity_without_acceptability_grade
scssl,vs,8646,5559.857142857143,0.2971598849578598,0.29715988495785983,5.551115123125783e-17,0.3602623635937466,age_group,0.36026236359374664,5.551115123125783e-17,0.36026236359374664,age_group,continuous_support_sensitivity_without_acceptability_grade
scssl,vsrev,8646,6301.767857142858,0.3312596287524038,0.33125962875240383,5.551115123125783e-17,0.5456361085266256,age_group,0.5456361085266256,0.0,0.5438429511529679,age_group,continuous_support_sensitivity_without_acceptability_grade
vs,acti,8646,5482.084523809524,0.2023656693876001,0.20236566938760012,2.7755575615628914e-17,0.1598935139044835,age_group,0.15989351390448353,2.7755575615628914e-17,0.142756434563666,age_group,continuous_support_sensitivity_without_acceptability_grade
vs,adept,8646,1919.4027944454594,0.3628797540400764,0.3628797540400764,0.0,0.3895679176326959,sex,0.38956791763269594,5.551115123125783e-17,0.38956791763269594,sex,continuous_support_sensitivity_without_acceptability_grade
vs,oak,8646,6887.578571428576,0.1503969249596241,0.1503969249596241,0.0,0.2307854471955746,age_group,0.23078544719557467,8.326672684688674e-17,0.2032828063396666,age_group,continuous_support_sensitivity_without_acceptability_grade
vs,scrf,8646,7482.482142857143,0.2226053753491854,0.22260537534918542,2.7755575615628914e-17,0.2626703391902109,age_group,0.26267033919021093,5.551115123125783e-17,0.2297599550548853,age_group,continuous_support_sensitivity_without_acceptability_grade
vs,scssl,8646,5813.0,0.3058709803208403,0.30587098032084037,5.551115123125783e-17,0.3702310831805068,sex,0.3702310831805068,0.0,0.2923911684528875,sex,continuous_support_sensitivity_without_acceptability_grade
