baseline_960_common_support_linear_h_per_target_iqr,baseline_960_full_range_h_per_target_iqr,baseline_960_grouped_oof_mae_per_target_iqr,common_support_linear_h_driver,common_support_linear_h_per_target_iqr,common_support_linear_h_reason,delta_vs_960_common_support_linear_h_per_target_iqr,delta_vs_960_full_range_h_per_target_iqr,delta_vs_960_grouped_oof_mae_per_target_iqr,full_range_h_driver,full_range_h_per_target_iqr,full_range_h_reason,grouped_oof_mae_per_target_iqr,n,source_algorithm,target_algorithm,target_iqr,wear_threshold
0.36026236359374664,0.3602623635937466,0.2971598849578598,age_group,0.34102083787269016,ESTIMATED,-0.019241525721056474,-0.019840417471661154,0.00096814827622832,age_group,0.34042194612208543,ESTIMATED,0.2981280332340881,8936,scssl,vs,5462.728571428571,720
0.5438429511529679,0.5456361085266256,0.3312596287524038,age_group,0.5073069992590694,ESTIMATED,-0.036535951893898466,-0.03832910926755617,0.0005144778485210444,age_group,0.5073069992590694,ESTIMATED,0.3317741066009248,8936,scssl,vsrev,6196.553571428571,720
0.142756434563666,0.1598935139044835,0.2023656693876001,age_group,0.13604635025119927,ESTIMATED,-0.006710084312466724,0.013444751337275629,0.002695895872531745,age_group,0.17333826524175913,ESTIMATED,0.20506156526013183,8936,vs,acti,5419.6785714285725,720
0.38956791763269594,0.3895679176326959,0.3628797540400764,sex,0.36983160737924686,ESTIMATED,-0.019736310253449074,0.011859918158277083,0.0013896834185463947,sex,0.40142783579097296,ESTIMATED,0.3642694374586228,8936,vs,adept,1903.8577016473146,720
0.2032828063396666,0.2307854471955746,0.1503969249596241,age_group,0.20565667103852808,ESTIMATED,0.002373864698861472,-0.012417388140771618,0.00043768016589959546,age_group,0.21836805905480297,ESTIMATED,0.15083460512552369,8936,vs,oak,6804.306785714292,720
0.2297599550548853,0.2626703391902109,0.2226053753491854,age_group,0.22515690092458196,ESTIMATED,-0.004603054130303347,-0.002801011545813137,0.0019299498701284556,age_group,0.25986932764439774,ESTIMATED,0.22453532521931385,8936,vs,scrf,7385.142857142857,720
0.2923911684528875,0.3702310831805068,0.3058709803208403,sex,0.32680350532985014,ESTIMATED,0.03441233687696266,-0.02220503451213801,0.00012748318386357482,sex,0.3480260486683688,ESTIMATED,0.3059984635047039,8936,vs,scssl,5761.478571428571,720
0.228314892825898,0.2519394147372684,0.1251691158200241,age_group,0.23214203984505455,ESTIMATED,0.0038271470191565404,-0.003849758311295831,0.0013490735758081018,age_group,0.24808965642597255,ESTIMATED,0.1265181893958322,8936,vs,vsrev,6196.553571428571,720
0.24268822920412267,0.2830134855578993,0.217162154151524,age_group,0.24704981625601638,ESTIMATED,0.004361587051893712,0.006704341663208824,0.0034209326350145286,age_group,0.2897178272211081,ESTIMATED,0.22058308678653854,8936,vsrev,acti,5419.6785714285725,720
0.4100890233091278,0.5021847747843555,0.3761337539390134,sex,0.41329620339725887,ESTIMATED,0.0032071800881310897,-0.07502823587782165,0.0008453581175111857,sex,0.4271565389065339,ESTIMATED,0.37697911205652457,8936,vsrev,adept,1903.8577016473146,720
0.12695634323636132,0.2132925563393987,0.1375325838439355,bmi_group,0.11622070363556014,ESTIMATED,-0.010735639600801178,-0.04824620332701646,0.001284144553288069,age_group,0.16504635301238224,ESTIMATED,0.13881672839722356,8936,vsrev,oak,6804.306785714292,720
0.21480712354761716,0.2152130711973439,0.2175719541187634,sex,0.27648564986019064,ESTIMATED,0.06167852631257348,0.061272578662846744,0.0011671558469630583,sex,0.27648564986019064,ESTIMATED,0.21873910996572646,8936,vsrev,scrf,7385.142857142857,720
0.4020685113198904,0.4020685113198904,0.3380717011698635,sex,0.4235065719988576,ESTIMATED,0.021438060678967197,0.021438060678967197,-0.0006557128774393184,sex,0.4235065719988576,ESTIMATED,0.3374159882924242,8936,vsrev,scssl,5761.478571428571,720
0.19289048044129936,0.2450804794441582,0.1231412136127973,age_group,0.20910489960110737,ESTIMATED,0.016214419159808008,-0.02211457056360125,0.002082921444187938,age_group,0.22296590888055695,ESTIMATED,0.12522413505698524,8936,vsrev,vs,5462.728571428571,720
0.3302687017702774,0.326836552910744,0.402173852123114,sex,0.3577460519363874,ESTIMATED,0.027477350166110026,0.011658674694258853,0.00938205157941363,bmi_group,0.33849522760500284,ESTIMATED,0.41155590370252765,8066,acti,adept,1920.8025967259646,1296
0.2382564572094381,0.2422376149418335,0.1621803430204026,age_group,0.24697850891547704,ESTIMATED,0.00872205170603893,0.009221585444442848,0.00257734596081835,age_group,0.25145920038627634,ESTIMATED,0.16475768898122095,8066,acti,oak,6848.80119047619,1296
0.2461704464688786,0.3104461498615042,0.2063705918579641,age_group,0.2550032603374674,ESTIMATED,0.008832813868588807,0.06520799994870619,0.003987412124909079,age_group,0.3756541498102104,ESTIMATED,0.2103580039828732,8066,acti,scrf,7470.914285714287,1296
0.282278957192943,0.2584581621641114,0.3102611817644133,sex,0.2638060474762737,ESTIMATED,-0.018472909716669317,0.0329734576939163,0.002899282915758361,sex,0.2914316198580277,ESTIMATED,0.31316046468017167,8066,acti,scssl,5870.232142857143,1296
0.19429577360076491,0.1942957736007649,0.1987904000917201,age_group,0.192623057793331,ESTIMATED,-0.0016727158074339166,0.009633248499540975,0.00524128878257793,age_group,0.20392902210030586,ESTIMATED,0.20403168887429804,8066,acti,vs,5537.28869047619,1296
