analysis_weighting,baseline_960_observed_target_attainment_pct,delta_vs_960_observed_target_attainment_pct,n_source_directions_checked,observed_target_attainment_pct,target_algorithm,threshold_target_steps,wear_threshold
unweighted_primary,62.13277816331251,-0.7070843405730329,6,61.42569382273948,scssl,7000.0,720
WTMEC4YR_weighted_sensitivity,64.62371084842717,-0.6100185482967788,6,64.01369230013039,scssl,7000.0,720
unweighted_primary,52.81054823039556,-0.8074148373785519,6,52.00313339301701,scssl,8000.0,720
WTMEC4YR_weighted_sensitivity,55.40049692293868,-0.9263218184889084,6,54.47417510444977,scssl,8000.0,720
unweighted_primary,35.04510756419153,-0.7344540279337011,6,34.31065353625783,scssl,10000.0,720
WTMEC4YR_weighted_sensitivity,36.30783234769952,-0.8269539477200851,6,35.48087839997944,scssl,10000.0,720
unweighted_primary,68.58662965533195,-0.7598615264152073,6,67.82676812891674,vs,7000.0,720
WTMEC4YR_weighted_sensitivity,70.72319292261237,-0.7928055211362022,6,69.93038740147617,vs,7000.0,720
unweighted_primary,58.74392782789729,-0.8880639066797471,6,57.85586392121754,vs,8000.0,720
WTMEC4YR_weighted_sensitivity,60.29697333925708,-0.930685140996026,6,59.36628819826105,vs,8000.0,720
unweighted_primary,39.28984501503586,-1.0176874501298556,6,38.272157564906,vs,10000.0,720
WTMEC4YR_weighted_sensitivity,39.62514592793926,-1.1216551713501346,6,38.50349075658912,vs,10000.0,720
unweighted_primary,59.900532037936614,-0.6682133271040271,6,59.23231871083259,vsrev,7000.0,720
WTMEC4YR_weighted_sensitivity,62.40355686108578,-0.7891056581770641,6,61.61445120290872,vsrev,7000.0,720
unweighted_primary,51.3763590099468,-0.7384897171983553,6,50.63786929274844,vsrev,8000.0,720
WTMEC4YR_weighted_sensitivity,53.33706868189915,-0.8993845471602313,6,52.43768413473891,vsrev,8000.0,720
unweighted_primary,34.605597964376585,-0.5411395937409509,6,34.064458370635634,vsrev,10000.0,720
WTMEC4YR_weighted_sensitivity,35.26419613458566,-0.6604637875844332,6,34.60373234700123,vsrev,10000.0,720
unweighted_primary,88.11010872079575,1.5377960647237074,6,89.64790478551946,acti,7000.0,1296
WTMEC4YR_weighted_sensitivity,89.46378588203736,1.4292240510596486,6,90.893009933097,acti,7000.0,1296
unweighted_primary,82.65093684941013,1.8023237506394592,6,84.45326060004959,acti,8000.0,1296
WTMEC4YR_weighted_sensitivity,84.43691471024445,1.6184206821909584,6,86.05533539243541,acti,8000.0,1296
unweighted_primary,66.06523247744622,2.122221031108211,6,68.18745350855443,acti,10000.0,1296
WTMEC4YR_weighted_sensitivity,67.68682301987573,2.1781068111394006,6,69.86492983101513,acti,10000.0,1296
unweighted_primary,1.4341892204487623,0.0907301943789093,6,1.524919414827672,adept,7000.0,1296
WTMEC4YR_weighted_sensitivity,1.257298010862412,0.1120353488418537,6,1.3693333597042658,adept,7000.0,1296
unweighted_primary,0.7864908628267407,0.0689517357351239,6,0.8554425985618647,adept,8000.0,1296
WTMEC4YR_weighted_sensitivity,0.636989421559268,0.0506789777854048,6,0.6876683993446728,adept,8000.0,1296
