exposure,source_algorithm,target_algorithm,method,group_type,group_level,source_input,predicted_target_full_sample,predicted_target_subgroup,subgroup_minus_full,subgroup_minus_full_over_target_iqr,target_iqr
daily_steps,adept,vsrev,isotonic,bmi_group,>=30,4086.994044315771,12752.186142657902,12192.368265306122,-559.8178773517793,-0.0888350523285689,6301.767857142858
daily_steps,adept,vsrev,isotonic,bmi_group,>=30,4137.659078686365,12752.186142657902,12192.368265306122,-559.8178773517793,-0.0888350523285689,6301.767857142858
daily_steps,adept,vsrev,isotonic,bmi_group,>=30,4188.324113056959,12752.186142657902,12192.368265306122,-559.8178773517793,-0.0888350523285689,6301.767857142858
daily_steps,adept,vsrev,isotonic,bmi_group,>=30,4238.989147427552,12752.186142657902,12192.368265306122,-559.8178773517793,-0.0888350523285689,6301.767857142858
daily_steps,adept,vsrev,isotonic,bmi_group,>=30,4289.654181798146,12784.879246031747,12192.368265306122,-592.5109807256249,-0.0940229780210059,6301.767857142858
daily_steps,adept,vsrev,isotonic,bmi_group,>=30,4340.319216168739,12784.879246031747,13172.875975599096,387.99672956734867,0.0615695053139043,6301.767857142858
daily_steps,adept,vsrev,isotonic,bmi_group,>=30,4390.984250539333,13316.129285714287,13471.007501630787,154.87821591650027,0.0245769472039422,6301.767857142858
daily_steps,adept,vsrev,isotonic,bmi_group,>=30,4441.649284909926,13629.525668623615,13471.007501630787,-158.5181669928279,-0.0251545551322003,6301.767857142858
daily_steps,adept,vsrev,isotonic,bmi_group,>=30,4492.31431928052,13629.525668623615,13471.007501630787,-158.5181669928279,-0.0251545551322003,6301.767857142858
daily_steps,adept,vsrev,isotonic,bmi_group,>=30,4542.979353651113,14058.094003527342,13471.007501630787,-587.0865018965542,-0.0931621911827662,6301.767857142858
daily_steps,adept,vsrev,isotonic,bmi_group,>=30,4593.644388021707,14058.094003527342,13471.007501630787,-587.0865018965542,-0.0931621911827662,6301.767857142858
daily_steps,adept,vsrev,isotonic,bmi_group,>=30,4644.309422392301,14058.094003527342,13471.007501630787,-587.0865018965542,-0.0931621911827662,6301.767857142858
daily_steps,adept,vsrev,isotonic,bmi_group,>=30,4694.974456762894,14058.094003527342,13471.007501630787,-587.0865018965542,-0.0931621911827662,6301.767857142858
daily_steps,adept,vsrev,isotonic,bmi_group,>=30,4745.639491133487,14060.762673992676,13471.007501630787,-589.7551723618872,-0.0935856708357509,6301.767857142858
daily_steps,adept,vsrev,isotonic,bmi_group,>=30,4796.3045255040815,14060.762673992676,13471.007501630787,-589.7551723618872,-0.0935856708357509,6301.767857142858
daily_steps,adept,vsrev,isotonic,bmi_group,>=30,4846.969559874675,14569.311075949368,13756.975137972646,-812.3359379767207,-0.1289060397640581,6301.767857142858
daily_steps,adept,vsrev,isotonic,bmi_group,>=30,4897.634594245268,14569.311075949368,13800.333516483515,-768.9775594658513,-0.1220256881716515,6301.767857142858
daily_steps,adept,vsrev,isotonic,bmi_group,>=30,4948.299628615862,14569.311075949368,13800.333516483515,-768.9775594658513,-0.1220256881716515,6301.767857142858
daily_steps,adept,vsrev,isotonic,bmi_group,>=30,4998.964662986456,14569.311075949368,13800.333516483515,-768.9775594658513,-0.1220256881716515,6301.767857142858
daily_steps,adept,vsrev,isotonic,bmi_group,>=30,5049.629697357049,14569.311075949368,13800.333516483515,-768.9775594658513,-0.1220256881716515,6301.767857142858
daily_steps,adept,vsrev,isotonic,bmi_group,>=30,5100.294731727643,14569.311075949368,13904.380233324104,-664.9308426252628,-0.1055149694020519,6301.767857142858
daily_steps,adept,vsrev,isotonic,bmi_group,>=30,5150.959766098236,14569.311075949368,14381.221428571427,-188.0896473779394,-0.0298471241152981,6301.767857142858
daily_steps,adept,vsrev,isotonic,bmi_group,>=30,5201.62480046883,14585.091873260944,14381.221428571427,-203.87044468951717,-0.0323513098722664,6301.767857142858
daily_steps,adept,vsrev,isotonic,bmi_group,>=30,5252.289834839424,14587.422522522522,14381.221428571427,-206.20109395109463,-0.0327211504177152,6301.767857142858
daily_steps,adept,vsrev,isotonic,bmi_group,>=30,5302.954869210017,14813.669686411147,14381.221428571427,-432.4482578397219,-0.0686233240644615,6301.767857142858
daily_steps,adept,vsrev,isotonic,bmi_group,>=30,5353.61990358061,14813.669686411147,14381.221428571427,-432.4482578397219,-0.0686233240644615,6301.767857142858
daily_steps,adept,vsrev,isotonic,bmi_group,>=30,5404.284937951204,14813.669686411147,14390.829846556742,-422.8398398544068,-0.0670986062070076,6301.767857142858
