exposure,algorithm_a,algorithm_b,n_pair,pearson_r,spearman_r,mean_a_minus_b,median_a_minus_b,median_abs_diff,p95_abs_diff,bland_altman_lower_loa,bland_altman_upper_loa,note
peak30_cadence,adept,oak,8549,0.8707812872569716,0.902272909235671,-36.01977347209667,-36.937867547501455,36.937867547501455,48.76906968884026,-53.74026262917663,-18.29928431501671,Unordered pairwise agreement on subjects with both exposures non-missing.
peak30_cadence,adept,scrf,8510,0.7815353453800122,0.8367506246374504,-48.67923824030102,-49.86829227480629,49.86829227480629,64.90428483783835,-70.4884548850883,-26.870021595513737,Unordered pairwise agreement on subjects with both exposures non-missing.
peak30_cadence,adept,scssl,8428,0.8219993885316308,0.8732825888790106,-46.52186904521529,-47.34850555122627,47.351784881641365,61.23392610433073,-66.5677884033404,-26.47594968709018,Unordered pairwise agreement on subjects with both exposures non-missing.
peak30_cadence,adept,vs,8550,0.8901440624171817,0.8996608587490458,-23.223212602767887,-23.81351607841334,23.828385769563265,34.991489371528694,-39.19889206523038,-7.247533140305395,Unordered pairwise agreement on subjects with both exposures non-missing.
peak30_cadence,adept,vsrev,8550,0.8370312898091296,0.8530725208201816,-29.5291073117626,-30.065884011523345,30.076839483277745,45.886530204667366,-50.781230830840855,-8.276983792684344,Unordered pairwise agreement on subjects with both exposures non-missing.
peak30_cadence,oak,scrf,8551,0.943237450174424,0.9488069288207618,-12.569780790513638,-12.813571428571407,12.813571428571407,21.844999999999978,-24.46770555666115,-0.6718560243661233,Unordered pairwise agreement on subjects with both exposures non-missing.
peak30_cadence,oak,scssl,8475,0.9305599819787176,0.9463736322422444,-10.309038229620215,-10.005238095238036,10.052380952380917,20.56523809523804,-23.120876765898135,2.5028003066577043,Unordered pairwise agreement on subjects with both exposures non-missing.
peak30_cadence,oak,vs,8641,0.9531706018805172,0.9458290740844472,12.708713565633069,12.895238095238136,12.900476190476232,21.402857142857187,1.6243327749731655,23.793094356292972,Unordered pairwise agreement on subjects with both exposures non-missing.
peak30_cadence,oak,vsrev,8625,0.9507946818610652,0.9427274537670932,6.499668682309688,6.884047619047671,7.170000000000073,15.78046666666673,-5.895896791709063,18.89523415632844,Unordered pairwise agreement on subjects with both exposures non-missing.
peak30_cadence,scrf,scssl,8459,0.9409943801741932,0.950710763570398,2.3180481857399933,1.714285714285694,2.5,12.543015873015865,-8.910767717935753,13.54686408941574,Unordered pairwise agreement on subjects with both exposures non-missing.
peak30_cadence,scrf,vs,8552,0.8829832138128078,0.8879716588990989,25.360197271222177,25.942857142857136,25.942857142857136,37.47619047619047,9.50624718285971,41.21414735958464,Unordered pairwise agreement on subjects with both exposures non-missing.
peak30_cadence,scrf,vsrev,8549,0.9243694365846769,0.9415976169296688,19.066231583755272,19.728571428571417,19.742857142857147,30.485714285714284,3.5686377864310135,34.56382538107953,Unordered pairwise agreement on subjects with both exposures non-missing.
peak30_cadence,scssl,vs,8475,0.8942703774237823,0.9086311126382914,23.14117985672145,23.32857142857143,23.32857142857143,34.67678571428571,7.810633855965063,38.47172585747784,Unordered pairwise agreement on subjects with both exposures non-missing.
peak30_cadence,scssl,vsrev,8472,0.92263225421559,0.926045703982916,16.824099667251225,16.773809523809526,16.787777777777766,28.958412698412697,1.8358502153515364,31.812349119150916,Unordered pairwise agreement on subjects with both exposures non-missing.
peak30_cadence,vs,vsrev,8626,0.9513129797006326,0.9463105260384432,-6.221219835565418,-5.880952380952383,6.04666666666667,16.591666666666676,-18.958922865975968,6.516483194845132,Unordered pairwise agreement on subjects with both exposures non-missing.
