absolute_change,analysis_weighting,baseline_960,current,degenerate_status_changed_n,maximum,maximum_absolute_change_vs_960,median,median_absolute_change_vs_960,metric,minimum,n_comparable_nondegenerate,na_n,q25,q75,rank,section,source_algorithm,spearman_vs_960,target_algorithm,target_steps,wear_threshold
,unweighted_primary,,,0,17.455391776570988,0.9966498086764108,8.716613099855923,0.23825559627619342,discordant_reclassification_pct,4.277956333813587,36,,,,,discordance_summary,,,,7000.0,600
,WTMEC4YR_weighted_sensitivity,,,0,17.133699496950836,0.9286859138432622,8.446727996283986,0.35226097584905425,discordant_reclassification_pct,4.088673550501016,36,,,,,discordance_summary,,,,7000.0,600
,unweighted_primary,,,0,19.705197827773468,1.1086069939906569,10.412279729579963,0.2202899680973105,discordant_reclassification_pct,5.319738446193062,36,,,,,discordance_summary,,,,8000.0,600
,WTMEC4YR_weighted_sensitivity,,,0,20.22515406360064,1.0898101353759149,10.064462183429773,0.30493297853618095,discordant_reclassification_pct,5.137937602335992,36,,,,,discordance_summary,,,,8000.0,600
,unweighted_primary,,,0,20.625069267427683,0.9501343996396088,11.23240607336806,0.16859656647882293,discordant_reclassification_pct,6.405851712290812,36,,,,,discordance_summary,,,,10000.0,600
,WTMEC4YR_weighted_sensitivity,,,0,21.826905971066857,0.9695941278757338,11.45013590602011,0.23534250063211015,discordant_reclassification_pct,6.865582425891752,36,,,,,discordance_summary,,,,10000.0,600
,unweighted_primary,,,0,17.4686660698299,0.5227576633571429,8.566472694717994,0.21021177971877414,discordant_reclassification_pct,4.431512981199641,36,,,,,discordance_summary,,,,7000.0,720
,WTMEC4YR_weighted_sensitivity,,,0,17.13122805682186,0.7145619395643035,8.278786436603319,0.21998685840158805,discordant_reclassification_pct,4.1502512847949795,36,,,,,discordance_summary,,,,7000.0,720
,unweighted_primary,,,0,20.120859444941807,0.8739894727272297,10.133169203222918,0.18764531328856293,discordant_reclassification_pct,5.192479856759177,36,,,,,discordance_summary,,,,8000.0,720
,WTMEC4YR_weighted_sensitivity,,,0,21.031538566394918,0.8862302133113715,9.813182115001078,0.31762793600391426,discordant_reclassification_pct,4.979122655758377,36,,,,,discordance_summary,,,,8000.0,720
,unweighted_primary,,,0,20.79230080572963,0.8765807010491855,11.112354521038496,0.14297186397174766,discordant_reclassification_pct,6.412264995523724,36,,,,,discordance_summary,,,,10000.0,720
,WTMEC4YR_weighted_sensitivity,,,0,21.976091564568204,1.1039642477235354,11.338530165996719,0.2176606633461633,discordant_reclassification_pct,6.805906034504266,36,,,,,discordance_summary,,,,10000.0,720
,unweighted_primary,,,0,17.790726506322837,0.7387239406288355,8.182494421026531,0.14100791991400552,discordant_reclassification_pct,3.9176791470369454,36,,,,,discordance_summary,,,,7000.0,1296
,WTMEC4YR_weighted_sensitivity,,,0,17.31845955797546,0.9131358668373419,8.050991193331296,0.21506785149601138,discordant_reclassification_pct,3.8460681450031062,36,,,,,discordance_summary,,,,7000.0,1296
,unweighted_primary,,,0,19.22886188941235,0.43340968125616897,9.707413835854204,0.18774241583962104,discordant_reclassification_pct,4.897098933796181,36,,,,,discordance_summary,,,,8000.0,1296
,WTMEC4YR_weighted_sensitivity,,,0,19.750050784249634,0.5611956226243855,9.334898184537536,0.22173595629001097,discordant_reclassification_pct,4.47756803485321,36,,,,,discordance_summary,,,,8000.0,1296
,unweighted_primary,,,0,20.704190428961073,0.668361222321586,11.226134391272007,0.1286732938109072,discordant_reclassification_pct,6.3352343168856935,36,,,,,discordance_summary,,,,10000.0,1296
,WTMEC4YR_weighted_sensitivity,,,0,21.867364245195095,0.7720421187527187,11.483932870365951,0.3342375837628735,discordant_reclassification_pct,6.632854334565668,36,,,,,discordance_summary,,,,10000.0,1296
,,,,,0.013406954971001712,0.002891960803115441,4.3068171480166535e-05,0.0004865522391444007,transport_penalty_mae_per_target_iqr,-0.005989402001977142,,,,,,transport_penalty_summary,,0.8981472106915057,,,600
,,,,,0.014671851765614705,0.004108064845648458,-0.0002156652778521914,0.0006179730197985495,transport_penalty_mae_per_target_iqr,-0.006124028217043315,,,,,,transport_penalty_summary,,0.8717019337855626,,,720
,,,,,0.014879799528762398,0.0034480052607164294,-8.737996605072727e-05,0.0008884290295484436,transport_penalty_mae_per_target_iqr,-0.005821533156634699,,,,,,transport_penalty_summary,,0.8654247241065102,,,1296
